product_a,product_b,support,confidence_ab,confidence_ba,lift,pair_count
ANTIQUE SILVER T-LIGHT GLASS,ASSORTED COLOUR BIRD ORNAMENT,0.0092,0.2101,0.0824,1.89,100
JUMBO  BAG BAROQUE BLACK WHITE,PACK OF 60 DINOSAUR CAKE CASES,0.0045,0.0801,0.1056,1.88,49
RABBIT NIGHT LIGHT,SET OF 3 REGENCY CAKE TINS,0.0046,0.0924,0.0935,1.88,50
NATURAL SLATE HEART CHALKBOARD,VICTORIAN GLASS HANGING T-LIGHT,0.01,0.1227,0.1531,1.88,109
ALARM CLOCK BAKELIKE RED,SPACEBOY LUNCH BOX,0.0058,0.0845,0.1286,1.88,63
DOORMAT NEW ENGLAND,WOOD BLACK BOARD ANT WHITE FINISH,0.004,0.0926,0.0819,1.88,44
ALARM CLOCK BAKELIKE GREEN,SPACEBOY LUNCH BOX,0.0052,0.0844,0.1163,1.88,57
HAND OVER THE CHOCOLATE   SIGN,SET/5 RED RETROSPOT LID GLASS BOWLS,0.0061,0.1166,0.0978,1.88,66
GINGERBREAD MAN COOKIE CUTTER,PINK CREAM FELT CRAFT TRINKET BOX,0.0034,0.0801,0.0797,1.88,37
GARDENERS KNEELING PAD KEEP CALM,SET OF 3 REGENCY CAKE TINS,0.0062,0.0923,0.1271,1.88,68
JUMBO BAG VINTAGE DOILY,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.0057,0.1123,0.0949,1.88,62
JUMBO BAG ALPHABET,SPOTTY BUNTING,0.0094,0.1497,0.1188,1.88,103
COOK WITH WINE METAL SIGN,HEART OF WICKER LARGE,0.0067,0.1337,0.0943,1.88,73
HOT WATER BOTTLE TEA AND SYMPATHY,LUNCH BAG VINTAGE DOILY,0.0037,0.0828,0.0832,1.88,40
HAND OVER THE CHOCOLATE   SIGN,RED HANGING HEART T-LIGHT HOLDER,0.0056,0.1078,0.0971,1.87,61
60 TEATIME FAIRY CAKE CASES,LUNCH BAG SUKI DESIGN,0.0076,0.1424,0.0999,1.87,83
GARDENERS KNEELING PAD CUP OF TEA,LUNCH BAG CARS BLUE,0.0085,0.15,0.1062,1.87,93
JUMBO BAG RED RETROSPOT,LUNCH BAG DOLLY GIRL DESIGN,0.0114,0.0883,0.2403,1.87,124
6 RIBBONS RUSTIC CHARM,PACK OF 60 PINK PAISLEY CAKE CASES,0.0054,0.099,0.1019,1.87,59
JUMBO BAG 50'S CHRISTMAS,LUNCH BAG ALPHABET DESIGN,0.005,0.1011,0.0915,1.87,54
COLOUR GLASS T-LIGHT HOLDER HANGING,HOME BUILDING BLOCK WORD,0.0049,0.1095,0.0828,1.87,53
JUMBO BAG 50'S CHRISTMAS,LUNCH BAG  BLACK SKULL.,0.0083,0.1685,0.0917,1.87,90
DOORMAT RED RETROSPOT,WOOD 2 DRAWER CABINET WHITE FINISH,0.0037,0.0823,0.0835,1.87,40
PACK OF 60 DINOSAUR CAKE CASES,RETROSPOT TEA SET CERAMIC 11 PC,0.0047,0.1099,0.0796,1.87,51
JUMBO  BAG BAROQUE BLACK WHITE,LUNCH BAG ALPHABET DESIGN,0.0057,0.1013,0.1051,1.87,62
60 TEATIME FAIRY CAKE CASES,PAPER BUNTING RETROSPOT,0.004,0.0755,0.1,1.87,44
HANGING HEART JAR T-LIGHT HOLDER,WOODEN PICTURE FRAME WHITE FINISH,0.0066,0.1431,0.0856,1.86,72
LUNCH BAG DOLLY GIRL DESIGN,VINTAGE SNAP CARDS,0.0048,0.1008,0.088,1.86,52
ANTIQUE SILVER T-LIGHT GLASS,NATURAL SLATE HEART CHALKBOARD,0.0066,0.1513,0.0811,1.86,72
LUNCH BAG RED RETROSPOT,SET/20 RED RETROSPOT PAPER NAPKINS,0.0096,0.0945,0.1895,1.86,105
PACK OF 72 RETROSPOT CAKE CASES,SPACEBOY LUNCH BOX,0.0063,0.0833,0.1408,1.86,69
LUNCH BAG SUKI DESIGN,SPOTTY BUNTING,0.0113,0.148,0.1419,1.86,123
GARDENERS KNEELING PAD KEEP CALM,JUMBO BAG 50'S CHRISTMAS,0.0061,0.0909,0.1255,1.86,67
GARDENERS KNEELING PAD CUP OF TEA,PAPER CHAIN KIT 50'S CHRISTMAS,0.0086,0.1516,0.1055,1.86,94
6 RIBBONS RUSTIC CHARM,LOVE BUILDING BLOCK WORD,0.0049,0.0889,0.1017,1.86,53
CHOCOLATE HOT WATER BOTTLE,PAPER CHAIN KIT 50'S CHRISTMAS,0.009,0.1515,0.11,1.85,98
HAND OVER THE CHOCOLATE   SIGN,WOODEN FRAME ANTIQUE WHITE,0.0067,0.129,0.0958,1.85,73
CLOTHES PEGS RETROSPOT PACK 24,HAND OVER THE CHOCOLATE   SIGN,0.0047,0.0959,0.0901,1.85,51
DOORMAT KEEP CALM AND COME IN,HOT WATER BOTTLE I AM SO POORLY,0.0041,0.0804,0.0947,1.85,45
CHILLI LIGHTS,GINGERBREAD MAN COOKIE CUTTER,0.0031,0.0783,0.0736,1.85,34
COLOUR GLASS T-LIGHT HOLDER HANGING,SPOTTY BUNTING,0.0065,0.1467,0.0819,1.85,71
GARDENERS KNEELING PAD KEEP CALM,LUNCH BAG APPLE DESIGN,0.0084,0.1248,0.1247,1.85,92
RED HANGING HEART T-LIGHT HOLDER,WOOD 2 DRAWER CABINET WHITE FINISH,0.0047,0.0812,0.1065,1.85,51
PAPER CHAIN KIT 50'S CHRISTMAS,SCOTTIE DOG HOT WATER BOTTLE,0.0083,0.1021,0.1512,1.85,91
BAKING SET 9 PIECE RETROSPOT,RECIPE BOX PANTRY YELLOW DESIGN,0.0076,0.1239,0.1137,1.85,83
LUNCH BAG  BLACK SKULL.,SMALL WHITE HEART OF WICKER,0.0085,0.0948,0.1661,1.85,93
LARGE WHITE HEART OF WICKER,NATURAL SLATE HEART CHALKBOARD,0.0068,0.1504,0.0833,1.85,74
GINGERBREAD MAN COOKIE CUTTER,RETROSPOT TEA SET CERAMIC 11 PC,0.0046,0.1082,0.078,1.84,50
LARGE WHITE HEART OF WICKER,SPOTTY BUNTING,0.0066,0.1463,0.083,1.84,72
HEART OF WICKER SMALL,WOODEN FRAME ANTIQUE WHITE,0.0105,0.1286,0.1509,1.84,115
JUMBO  BAG BAROQUE BLACK WHITE,LUNCH BAG WOODLAND,0.0063,0.1127,0.1033,1.84,69
GARDENERS KNEELING PAD CUP OF TEA,LUNCH BAG APPLE DESIGN,0.0071,0.1242,0.1043,1.84,77
SMALL WHITE HEART OF WICKER,WHITE HANGING HEART T-LIGHT HOLDER,0.0156,0.3036,0.0947,1.84,170
LUNCH BAG SUKI DESIGN,SMALL WHITE HEART OF WICKER,0.0072,0.0939,0.1393,1.83,78
DOORMAT NEW ENGLAND,SPACEBOY LUNCH BOX,0.0036,0.0821,0.0796,1.83,39
JUMBO  BAG BAROQUE BLACK WHITE,LUNCH BAG DOLLY GIRL DESIGN,0.0049,0.0866,0.1027,1.83,53
GIN + TONIC DIET METAL SIGN,LOVE BUILDING BLOCK WORD,0.005,0.0872,0.1036,1.83,54
HEART OF WICKER SMALL,HOME BUILDING BLOCK WORD,0.0088,0.1074,0.15,1.83,96
LUNCH BAG PINK POLKADOT,SMALL WHITE HEART OF WICKER,0.0072,0.0938,0.1411,1.83,79
LUNCH BAG VINTAGE DOILY,PAPER CHAIN KIT 50'S CHRISTMAS,0.0066,0.1497,0.0808,1.83,72
HEART OF WICKER SMALL,WOODEN PICTURE FRAME WHITE FINISH,0.0116,0.1409,0.1498,1.83,126
CLOTHES PEGS RETROSPOT PACK 24,HANGING HEART JAR T-LIGHT HOLDER,0.0041,0.0846,0.0895,1.83,45
NATURAL SLATE HEART CHALKBOARD,WOOD BLACK BOARD ANT WHITE FINISH,0.0073,0.0901,0.149,1.83,80
JUMBO BAG 50'S CHRISTMAS,LUNCH BAG APPLE DESIGN,0.0061,0.1236,0.0894,1.83,66
ALARM CLOCK BAKELIKE PINK,SPACEBOY LUNCH BOX,0.0037,0.0821,0.0816,1.83,40
GARDENERS KNEELING PAD KEEP CALM,PACK OF 60 DINOSAUR CAKE CASES,0.0052,0.0773,0.1228,1.82,57
60 TEATIME FAIRY CAKE CASES,LUNCH BAG RED RETROSPOT,0.0099,0.1852,0.0972,1.82,108
PACK OF 60 DINOSAUR CAKE CASES,POPCORN HOLDER,0.0039,0.0905,0.0773,1.82,42
ALARM CLOCK BAKELIKE GREEN,RABBIT NIGHT LIGHT,0.0056,0.0904,0.1128,1.82,61
JUMBO BAG VINTAGE DOILY,SPOTTY BUNTING,0.0073,0.1449,0.0923,1.82,80
6 RIBBONS RUSTIC CHARM,SET OF 6 SPICE TINS PANTRY DESIGN,0.0052,0.0956,0.0995,1.82,57
GARDENERS KNEELING PAD CUP OF TEA,LUNCH BAG PINK POLKADOT,0.008,0.1403,0.1033,1.82,87
GARDENERS KNEELING PAD CUP OF TEA,RABBIT NIGHT LIGHT,0.0051,0.0903,0.1035,1.82,56
RABBIT NIGHT LIGHT,RETROSPOT TEA SET CERAMIC 11 PC,0.0053,0.1072,0.0905,1.82,58
GARDENERS KNEELING PAD KEEP CALM,LUNCH BAG CARS BLUE,0.0098,0.1452,0.1221,1.81,107
HAND OVER THE CHOCOLATE   SIGN,HOME BUILDING BLOCK WORD,0.0055,0.106,0.0938,1.81,60
CHILLI LIGHTS,RABBIT NIGHT LIGHT,0.0036,0.0899,0.0721,1.81,39
JAM MAKING SET PRINTED,SET/5 RED RETROSPOT LID GLASS BOWLS,0.0072,0.1122,0.1156,1.81,78
LUNCH BAG SPACEBOY DESIGN,SET/5 RED RETROSPOT LID GLASS BOWLS,0.0089,0.1119,0.1437,1.81,97
WHITE HANGING HEART T-LIGHT HOLDER,WOOD BLACK BOARD ANT WHITE FINISH,0.0147,0.0891,0.298,1.81,160
BAKING SET 9 PIECE RETROSPOT,CLOTHES PEGS RETROSPOT PACK 24,0.0054,0.0881,0.1109,1.81,59
GARDENERS KNEELING PAD CUP OF TEA,SET OF 3 REGENCY CAKE TINS,0.005,0.0887,0.1028,1.81,55
SPACEBOY LUNCH BOX,VINTAGE SNAP CARDS,0.0044,0.098,0.0812,1.81,48
GREY HEART HOT WATER BOTTLE,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.0047,0.1083,0.0781,1.81,51
ALARM CLOCK BAKELIKE GREEN,SET OF 3 CAKE TINS PANTRY DESIGN,0.0099,0.16,0.1117,1.81,108
SMALL WHITE HEART OF WICKER,WOOD BLACK BOARD ANT WHITE FINISH,0.0046,0.0893,0.0931,1.81,50
60 TEATIME FAIRY CAKE CASES,RED RETROSPOT CHARLOTTE BAG,0.0053,0.0995,0.0967,1.81,58
HANGING HEART JAR T-LIGHT HOLDER,LARGE WHITE HEART OF WICKER,0.0038,0.0815,0.0833,1.81,41
JAM MAKING SET WITH JARS,SET/5 RED RETROSPOT LID GLASS BOWLS,0.0075,0.1122,0.1215,1.81,82
BAKING SET 9 PIECE RETROSPOT,PACK OF 72 RETROSPOT CAKE CASES,0.0084,0.1373,0.1111,1.81,92
ASSORTED COLOUR BIRD ORNAMENT,COLOUR GLASS T-LIGHT HOLDER HANGING,0.0089,0.0799,0.2004,1.8,97
HOME BUILDING BLOCK WORD,LARGE WHITE HEART OF WICKER,0.0048,0.0813,0.1057,1.8,52
JAM MAKING SET WITH JARS,PACK OF 60 DINOSAUR CAKE CASES,0.0051,0.0766,0.1207,1.8,56
HEART OF WICKER SMALL,IVORY KITCHEN SCALES,0.0064,0.0783,0.1477,1.8,70
COLOUR GLASS T-LIGHT HOLDER HANGING,PARTY BUNTING,0.0088,0.1983,0.0801,1.8,96
HOT WATER BOTTLE I AM SO POORLY,RED HANGING HEART T-LIGHT HOLDER,0.0045,0.1032,0.078,1.79,49
DOORMAT RED RETROSPOT,RED HANGING HEART T-LIGHT HOLDER,0.0046,0.1029,0.0796,1.79,50
HAND OVER THE CHOCOLATE   SIGN,HOT WATER BOTTLE I AM SO POORLY,0.004,0.0777,0.0926,1.79,44
LARGE WHITE HEART OF WICKER,LOVE BUILDING BLOCK WORD,0.0039,0.0854,0.0806,1.79,42
GARDENERS KNEELING PAD CUP OF TEA,RED RETROSPOT CHARLOTTE BAG,0.0056,0.0984,0.1017,1.79,61
CLOTHES PEGS RETROSPOT PACK 24,LUNCH BAG RED RETROSPOT,0.0089,0.1823,0.0873,1.79,97
NATURAL SLATE HEART CHALKBOARD,WHITE HANGING HEART T-LIGHT HOLDER,0.0239,0.2939,0.1454,1.79,261
SET OF 3 REGENCY CAKE TINS,WOOD 2 DRAWER CABINET WHITE FINISH,0.0039,0.0785,0.0877,1.79,42
IVORY KITCHEN SCALES,PACK OF 60 PINK PAISLEY CAKE CASES,0.0041,0.0949,0.0777,1.79,45
GINGERBREAD MAN COOKIE CUTTER,HOT WATER BOTTLE I AM SO POORLY,0.0033,0.0779,0.0758,1.79,36
LUNCH BAG ALPHABET DESIGN,SET OF 4 PANTRY JELLY MOULDS,0.0067,0.1237,0.0962,1.78,73
ALARM CLOCK BAKELIKE RED,RABBIT NIGHT LIGHT,0.0061,0.0885,0.122,1.78,66
COOK WITH WINE METAL SIGN,HOT WATER BOTTLE TEA AND SYMPATHY,0.0039,0.0788,0.089,1.78,43
LOVE BUILDING BLOCK WORD,RECIPE BOX PANTRY YELLOW DESIGN,0.0057,0.119,0.0849,1.78,62
6 RIBBONS RUSTIC CHARM,SET OF 3 REGENCY CAKE TINS,0.0048,0.0872,0.0972,1.78,52
GARDENERS KNEELING PAD KEEP CALM,LUNCH BAG PINK POLKADOT,0.0093,0.137,0.12,1.78,101
GARDENERS KNEELING PAD CUP OF TEA,LUNCH BAG SUKI DESIGN,0.0077,0.1355,0.1011,1.78,84
LUNCH BAG DOLLY GIRL DESIGN,RED HANGING HEART T-LIGHT HOLDER,0.0049,0.1027,0.0844,1.78,53
RECIPE BOX PANTRY YELLOW DESIGN,WOOD 2 DRAWER CABINET WHITE FINISH,0.0052,0.0781,0.119,1.78,57
JAM MAKING SET PRINTED,SET/20 RED RETROSPOT PAPER NAPKINS,0.0058,0.0906,0.1137,1.78,63
GARDENERS KNEELING PAD CUP OF TEA,PINK CREAM FELT CRAFT TRINKET BOX,0.0043,0.0758,0.1013,1.78,47
60 TEATIME FAIRY CAKE CASES,COLOUR GLASS T-LIGHT HOLDER HANGING,0.0042,0.0789,0.095,1.78,46
SMALL WHITE HEART OF WICKER,SPOTTY BUNTING,0.0072,0.1411,0.0911,1.78,79
ALARM CLOCK BAKELIKE RED,SET/5 RED RETROSPOT LID GLASS BOWLS,0.0075,0.1099,0.1215,1.78,82
LUNCH BAG SUKI DESIGN,PINK CREAM FELT CRAFT TRINKET BOX,0.0058,0.0758,0.1358,1.78,63
DOORMAT UNION FLAG,GIN + TONIC DIET METAL SIGN,0.0041,0.1004,0.0727,1.77,45
DOORMAT NEW ENGLAND,WOOD 2 DRAWER CABINET WHITE FINISH,0.0034,0.0779,0.0772,1.77,37
HAND OVER THE CHOCOLATE   SIGN,HEART OF WICKER LARGE,0.0065,0.1254,0.0917,1.77,71
LARGE WHITE HEART OF WICKER,WOODEN FRAME ANTIQUE WHITE,0.0056,0.124,0.0801,1.77,61
ALARM CLOCK BAKELIKE PINK,LUNCH BAG VINTAGE DOILY,0.0035,0.078,0.079,1.77,38
PAPER CHAIN KIT 50'S CHRISTMAS,PINK CREAM FELT CRAFT TRINKET BOX,0.0061,0.0752,0.1444,1.77,67
ALARM CLOCK BAKELIKE PINK,POPCORN HOLDER,0.0039,0.0883,0.0792,1.77,43
GINGERBREAD MAN COOKIE CUTTER,HOT WATER BOTTLE TEA AND SYMPATHY,0.0033,0.0779,0.0745,1.76,36
JUMBO BAG PINK VINTAGE PAISLEY,PINK CREAM FELT CRAFT TRINKET BOX,0.0038,0.0747,0.0884,1.76,41
SET OF 4 PANTRY JELLY MOULDS,SPOTTY BUNTING,0.0097,0.1397,0.1223,1.76,106
HOT WATER BOTTLE I AM SO POORLY,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.0046,0.1053,0.0766,1.76,50
JUMBO BAG VINTAGE DOILY,SMALL WHITE HEART OF WICKER,0.0046,0.0906,0.0893,1.76,50
CHARLOTTE BAG SUKI DESIGN,SET OF 4 PANTRY JELLY MOULDS,0.0055,0.1222,0.0791,1.76,60
ALARM CLOCK BAKELIKE RED,HAND WARMER OWL DESIGN,0.0058,0.0845,0.1202,1.76,63
60 TEATIME FAIRY CAKE CASES,SET OF 3 CAKE TINS PANTRY DESIGN,0.0083,0.1561,0.0941,1.76,91
LUNCH BAG DOLLY GIRL DESIGN,SPOTTY BUNTING,0.0066,0.1395,0.083,1.76,72
RETROSPOT TEA SET CERAMIC 11 PC,SET/5 RED RETROSPOT LID GLASS BOWLS,0.0064,0.1092,0.1037,1.76,70
GARDENERS KNEELING PAD KEEP CALM,GREY HEART HOT WATER BOTTLE,0.0051,0.076,0.1189,1.76,56
JUMBO BAG RED RETROSPOT,LUNCH BAG WOODLAND,0.0138,0.1075,0.226,1.76,151
DOORMAT NEW ENGLAND,JAM MAKING SET WITH JARS,0.0051,0.1179,0.0766,1.76,56
LARGE WHITE HEART OF WICKER,LUNCH BAG PINK POLKADOT,0.0061,0.1362,0.0796,1.76,67
JUMBO SHOPPER VINTAGE RED PAISLEY,PACK OF 60 DINOSAUR CAKE CASES,0.005,0.0742,0.1185,1.75,55
ANTIQUE SILVER T-LIGHT GLASS,WOOD BLACK BOARD ANT WHITE FINISH,0.0038,0.0861,0.0764,1.75,41
GARDENERS KNEELING PAD CUP OF TEA,SCOTTIE DOG HOT WATER BOTTLE,0.0055,0.0968,0.0997,1.75,60
HOT WATER BOTTLE KEEP CALM,PLEASE ONE PERSON METAL SIGN,0.0062,0.1019,0.1071,1.75,68
GARDENERS KNEELING PAD KEEP CALM,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.0071,0.1045,0.1179,1.75,77
ALARM CLOCK BAKELIKE PINK,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.0047,0.1047,0.0781,1.75,51
GARDENERS KNEELING PAD CUP OF TEA,JUMBO BAG VINTAGE DOILY,0.005,0.0887,0.0996,1.75,55
RED RETROSPOT CHARLOTTE BAG,WOODEN PICTURE FRAME WHITE FINISH,0.0074,0.135,0.0963,1.75,81
ALARM CLOCK BAKELIKE GREEN,LUNCH BAG VINTAGE DOILY,0.0048,0.077,0.1081,1.75,52
GARDENERS KNEELING PAD CUP OF TEA,SET/20 RED RETROSPOT PAPER NAPKINS,0.005,0.0887,0.0993,1.75,55
60 TEATIME FAIRY CAKE CASES,LUNCH BAG SPACEBOY DESIGN,0.0074,0.1389,0.0934,1.75,81
6 RIBBONS RUSTIC CHARM,GREY HEART HOT WATER BOTTLE,0.0041,0.0755,0.0955,1.75,45
CHILLI LIGHTS,LUNCH BAG VINTAGE LEAF DESIGN,0.0035,0.0876,0.0692,1.74,38
PACK OF 72 RETROSPOT CAKE CASES,SET OF 3 CAKE TINS PANTRY DESIGN,0.0117,0.1546,0.1324,1.74,128
DOORMAT NEW ENGLAND,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0051,0.1179,0.0756,1.74,56
GARDENERS KNEELING PAD KEEP CALM,JUMBO BAG VINTAGE DOILY,0.006,0.0882,0.1178,1.74,65
JUMBO BAG STRAWBERRY,SET/5 RED RETROSPOT LID GLASS BOWLS,0.0061,0.1075,0.0978,1.74,66
COLOUR GLASS T-LIGHT HOLDER HANGING,GARDENERS KNEELING PAD CUP OF TEA,0.0044,0.0992,0.0774,1.74,48
VICTORIAN GLASS HANGING T-LIGHT,WOOD BLACK BOARD ANT WHITE FINISH,0.0056,0.0857,0.1136,1.74,61
GREY HEART HOT WATER BOTTLE,HEART OF WICKER LARGE,0.0053,0.1231,0.0749,1.74,58
DOORMAT RED RETROSPOT,JUMBO BAG PINK POLKADOT,0.0057,0.1276,0.0777,1.74,62
DOORMAT KEEP CALM AND COME IN,JUMBO BAG VINTAGE LEAF,0.0057,0.1107,0.0893,1.74,62
60 TEATIME FAIRY CAKE CASES,LUNCH BAG WOODLAND,0.0057,0.1063,0.0928,1.74,62
GREEN REGENCY TEACUP AND SAUCER,VICTORIAN GLASS HANGING T-LIGHT,0.0063,0.1137,0.0969,1.74,69
RETROSPOT TEA SET CERAMIC 11 PC,SPACEBOY LUNCH BOX,0.0046,0.078,0.102,1.74,50
PAPER CHAIN KIT VINTAGE CHRISTMAS,RETROSPOT HEART HOT WATER BOTTLE,0.0046,0.0766,0.1044,1.74,50
DOORMAT NEW ENGLAND,HAND OVER THE CHOCOLATE   SIGN,0.0039,0.0905,0.076,1.74,43
LUNCH BAG DOLLY GIRL DESIGN,SMALL WHITE HEART OF WICKER,0.0042,0.0891,0.0821,1.74,46
JUMBO BAG 50'S CHRISTMAS,LUNCH BAG SPACEBOY DESIGN,0.0068,0.1386,0.0854,1.74,74
GARDENERS KNEELING PAD KEEP CALM,PAPER CHAIN KIT 50'S CHRISTMAS,0.0096,0.1425,0.1178,1.74,105
DOORMAT UNION FLAG,WOOD 2 DRAWER CABINET WHITE FINISH,0.0031,0.0759,0.071,1.73,34
60 TEATIME FAIRY CAKE CASES,LUNCH BAG PINK POLKADOT,0.0072,0.1338,0.0926,1.73,78
JUMBO BAG VINTAGE DOILY,LARGE WHITE HEART OF WICKER,0.0039,0.0779,0.0874,1.73,43
PACK OF 60 DINOSAUR CAKE CASES,SPACEBOY LUNCH BOX,0.0033,0.0776,0.0735,1.73,36
POPCORN HOLDER,RECIPE BOX PANTRY YELLOW DESIGN,0.0058,0.116,0.0863,1.73,63
DOORMAT RED RETROSPOT,JUMBO BAG RED RETROSPOT,0.0099,0.2222,0.0769,1.73,108
VICTORIAN GLASS HANGING T-LIGHT,WOOD 2 DRAWER CABINET WHITE FINISH,0.005,0.0758,0.1127,1.73,54
DOORMAT RED RETROSPOT,RETROSPOT HEART HOT WATER BOTTLE,0.0034,0.0761,0.0772,1.73,37
HOME BUILDING BLOCK WORD,SET OF 6 SPICE TINS PANTRY DESIGN,0.0053,0.0906,0.1012,1.73,58
HEART OF WICKER SMALL,WHITE HANGING HEART T-LIGHT HOLDER,0.0234,0.2852,0.1421,1.73,255
CLOTHES PEGS RETROSPOT PACK 24,IVORY KITCHEN SCALES,0.0037,0.0752,0.0844,1.73,40
CHILLI LIGHTS,RETROSPOT HEART HOT WATER BOTTLE,0.003,0.076,0.0689,1.73,33
ALARM CLOCK BAKELIKE RED,LUNCH BAG VINTAGE LEAF DESIGN,0.006,0.0871,0.1184,1.73,65
LUNCH BAG DOLLY GIRL DESIGN,SET OF 4 PANTRY JELLY MOULDS,0.0057,0.1202,0.0817,1.73,62
CHOCOLATE HOT WATER BOTTLE,COOK WITH WINE METAL SIGN,0.0051,0.0866,0.1026,1.73,56
LUNCH BAG SUKI DESIGN,PACK OF 72 RETROSPOT CAKE CASES,0.01,0.1312,0.1316,1.73,109
ALARM CLOCK BAKELIKE PINK,SET/5 RED RETROSPOT LID GLASS BOWLS,0.0048,0.1068,0.077,1.73,52
GARDENERS KNEELING PAD KEEP CALM,LUNCH BAG SUKI DESIGN,0.0089,0.1316,0.1167,1.73,97
ALARM CLOCK BAKELIKE GREEN,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.0064,0.1037,0.1072,1.73,70
GREY HEART HOT WATER BOTTLE,REX CASH+CARRY JUMBO SHOPPER,0.0054,0.1253,0.0749,1.73,59
IVORY KITCHEN SCALES,REGENCY CAKESTAND 3 TIER,0.0089,0.2046,0.0748,1.72,97
RED RETROSPOT CHARLOTTE BAG,SPOTTY BUNTING,0.0075,0.1367,0.0946,1.72,82
COLOUR GLASS T-LIGHT HOLDER HANGING,JUMBO BAG VINTAGE LEAF,0.0049,0.1095,0.0764,1.72,53
GARDENERS KNEELING PAD KEEP CALM,PINK CREAM FELT CRAFT TRINKET BOX,0.005,0.0733,0.1164,1.72,54
LUNCH BAG DOLLY GIRL DESIGN,SET/5 RED RETROSPOT LID GLASS BOWLS,0.005,0.1066,0.0815,1.72,55
NATURAL SLATE HEART CHALKBOARD,RETROSPOT TEA SET CERAMIC 11 PC,0.0083,0.1014,0.1404,1.72,90
LARGE WHITE HEART OF WICKER,LUNCH BAG  BLACK SKULL.,0.007,0.1545,0.0775,1.72,76
PACK OF 72 RETROSPOT CAKE CASES,SET OF 6 SPICE TINS PANTRY DESIGN,0.0069,0.0906,0.1309,1.72,75
LUNCH BAG CARS BLUE,SET/5 RED RETROSPOT LID GLASS BOWLS,0.0085,0.1062,0.1378,1.72,93
IVORY KITCHEN SCALES,PINK REGENCY TEACUP AND SAUCER,0.0033,0.0759,0.0745,1.72,36
LUNCH BAG DOLLY GIRL DESIGN,SET/20 RED RETROSPOT PAPER NAPKINS,0.0041,0.0872,0.0812,1.72,45
GARDENERS KNEELING PAD CUP OF TEA,LUNCH BAG VINTAGE DOILY,0.0043,0.0758,0.0977,1.72,47
COLOUR GLASS T-LIGHT HOLDER HANGING,LUNCH BAG VINTAGE LEAF DESIGN,0.0039,0.0868,0.0765,1.72,42
IVORY KITCHEN SCALES,WOOD BLACK BOARD ANT WHITE FINISH,0.0037,0.0844,0.0745,1.71,40
ALARM CLOCK BAKELIKE RED,SET OF 4 PANTRY JELLY MOULDS,0.0082,0.1193,0.1173,1.71,89
LARGE WHITE HEART OF WICKER,WOODEN PICTURE FRAME WHITE FINISH,0.006,0.1321,0.0773,1.71,65
SET OF 4 PANTRY JELLY MOULDS,SET/20 RED RETROSPOT PAPER NAPKINS,0.0061,0.087,0.1191,1.71,66
60 TEATIME FAIRY CAKE CASES,PLEASE ONE PERSON METAL SIGN,0.0053,0.0995,0.0913,1.71,58
LUNCH BAG VINTAGE DOILY,PINK CREAM FELT CRAFT TRINKET BOX,0.0032,0.0728,0.0754,1.71,35
PAPER CHAIN KIT 50'S CHRISTMAS,RETROSPOT HEART HOT WATER BOTTLE,0.0061,0.0752,0.1399,1.71,67
RED HANGING HEART T-LIGHT HOLDER,WOODEN FRAME ANTIQUE WHITE,0.0069,0.1194,0.0984,1.71,75
BAKING SET 9 PIECE RETROSPOT,POPCORN HOLDER,0.0052,0.0851,0.105,1.71,57
GARDENERS KNEELING PAD KEEP CALM,SET/20 RED RETROSPOT PAPER NAPKINS,0.0059,0.0868,0.1155,1.71,64
CHILLI LIGHTS,LUNCH BAG RED RETROSPOT,0.0069,0.1728,0.0675,1.7,75
JUMBO BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN,0.0174,0.1353,0.2191,1.7,190
ALARM CLOCK BAKELIKE GREEN,POPCORN HOLDER,0.0052,0.0844,0.105,1.7,57
ALARM CLOCK BAKELIKE GREEN,SET OF 4 PANTRY JELLY MOULDS,0.0073,0.1185,0.1054,1.7,80
ALARM CLOCK BAKELIKE RED,PINK REGENCY TEACUP AND SAUCER,0.0051,0.0751,0.1159,1.7,56
LARGE WHITE HEART OF WICKER,SET OF 3 REGENCY CAKE TINS,0.0038,0.0833,0.0766,1.7,41
ALARM CLOCK BAKELIKE GREEN,SET/5 RED RETROSPOT LID GLASS BOWLS,0.0065,0.1052,0.1052,1.7,71
CLOTHES PEGS RETROSPOT PACK 24,HOME BUILDING BLOCK WORD,0.0049,0.0996,0.0828,1.7,53
JUMBO BAG VINTAGE DOILY,SET OF 3 REGENCY CAKE TINS,0.0042,0.0833,0.086,1.7,46
LOVE BUILDING BLOCK WORD,NATURAL SLATE HEART CHALKBOARD,0.0066,0.1382,0.0811,1.7,72
HOME BUILDING BLOCK WORD,RECIPE BOX PANTRY YELLOW DESIGN,0.0067,0.1141,0.1,1.7,73
COOK WITH WINE METAL SIGN,RECIPE BOX PANTRY YELLOW DESIGN,0.0057,0.1136,0.0849,1.7,62
